ManufacturerID,ManufacturerName,ContactDetail_Phone,ContactDetail_Email
M01,Uniqlo,8125639413,uniqlo@gmail.com
M02,Novartis Health,394101293,novartis@gmail.com
M03,Huawei,3450981256,huawei@gmail.com
M04,Apple,9543219685,apple@gmail.com
M05,Singer Machine,3941954321,Singer@Gmail.com
M06,Quality Iron,8687654098,QualityIron@gmail.com
M07,Plastic Design,7775954322,PlasticDesign@gmail.com
M08,U.S. Cotton,9685954301,USCotton@gmail.com
M09,OEM Wood Manufacturing,6895432103,OEM@gmail.com
M10,Pottery Barn,5480901524,potterybarn@gmail.com
M11,Tesla,6383027209,tasla@gmail.com
M12,StyleWell,9885977309,StyleWell@gmail.com
M13,Mattel,9685954322,Mattel@gmail.com
M14,Nike,6595432154,Nike@gmail.com
M15,New Balance,7685954376,NewBalance@gmail.com
