SupplierID,SupplierName,ContactDetail_Phone,ContactDetail_Email
S01,Shintech,345029576,Shintech@gmail.com
S02,Farmers Cooper Ltd,30594837,FarmerscooperLtd@gmail.com
S03,Heidler SL,567214069,HeidlerheidlerSL@gmail.com
S04,Novartis,394101293,novartis@gmail.com
S05,Textile Industries SL,2934959876,TextileindustriesSL@gmail.com
S06,Toys r us,3949877777,Toysrus@gmail.com
S07,Apple,9543219685,apple@gmail.com
S08,The Home Depot,4320985743,thehomedepot@gmail.com
S09,National Sports Products,1049674521,NationalsportsProducts@gmail.com
S10,L'oreal,9873618432,loreal@gmail.com
S11,Wade Brothers,3214569876,WadewadeBrothers@gmail.com
S12,ASCIS,5849993458,ascis@gmail.com
S13,Haymarket Pres,7549991029,HaymarkethaymarketPres@gmail.com
S14,SD Plastic,4560982837,SDsdPlastic@gmail.com
S15,Huawei,3450981256,huawei@gmail.com
S16,Pottery Barn,5480901524,potterybarn@gmail.com
S17,Tesla,6383027209,tasla@gmail.com
